building_id,bldg_name,use_type,use_sub,barangay,brgy_id,municipality,height_m,floors,area_sqm,cen_x,cen_y,ground_elev_m,dist_to_stp_m,required_depth_at_stp_m,sewer_feasibility,exclusion_reason,alternative_service
61396,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,155.92,593417.03,1066493.08,-0.45,1248.5,11.64,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61545,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,42.75,593404.25,1066514.99,-0.54,1231.4,11.64,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61908,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,2,174.62,593430.37,1066432.27,-0.12,1303.2,11.62,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61210,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,42.33,593353.46,1066584.76,-0.79,1182.5,11.61,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61208,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.94,2,63.69,593412.39,1066411.48,0.06,1328.1,11.58,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60358,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.67,2,21.51,593361.95,1066578.48,-0.72,1185.3,11.56,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60361,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,96.21,593398.79,1066395.82,0.23,1347.0,11.51,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61376,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,75.04,593423.24,1066492.16,-0.28,1247.6,11.47,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61407,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,101.83,593430.25,1066478.43,-0.22,1258.8,11.47,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61298,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,30.63,593412.22,1066509.99,-0.28,1233.8,11.39,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
