building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
37322,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37325,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37328,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37329,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37332,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37334,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37335,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37336,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37337,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37338,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37341,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37342,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37343,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37344,R1,Tagbilaran City,Booy,Religious Places,Place of Worship,Served
37345,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37347,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37348,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37349,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37350,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37353,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37354,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37356,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37357,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37358,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37361,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37366,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37367,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37368,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37369,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37370,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37371,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37372,R1,Tagbilaran City,Booy,Commercial Establishments,Retail & Shopping,Served
37374,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37377,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37378,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37380,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37381,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37383,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37386,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37389,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37390,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37392,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37393,R1,Tagbilaran City,Booy,Commercial Establishments,Hospitality & Accommodation,Served
37394,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
